"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-34362.0328919777
"2","ACDG_P015",1,50,-61226.9071682172
"3","ACDG_P015",1,100,-114422.372141174
"4","ACDG_P015",2,25,-35006.3285575125
"5","ACDG_P015",2,50,-63858.0057323217
"6","ACDG_P015",2,100,-115687.286226183
"7","ACDG_P015",3,25,-30665.1678465835
"8","ACDG_P015",3,50,-59674.3285573496
"9","ACDG_P015",3,100,-103451.615241617
"10","ACDG_P015",4,25,-31140.1159909534
"11","ACDG_P015",4,50,-62024.7534232377
"12","ACDG_P015",4,100,-114781.86901489
"13","ACDG_P015",5,25,-32134.0998449538
"14","ACDG_P015",5,50,-63447.6065186273
"15","ACDG_P015",5,100,-114650.808391244
"16","ACDG_P015",6,25,-32031.9475868171
"17","ACDG_P015",6,50,-66163.4928615068
"18","ACDG_P015",6,100,-113877.103018658
"19","ACDG_P015",7,25,-30833.5418483115
"20","ACDG_P015",7,50,-60833.0115784279
"21","ACDG_P015",7,100,-114856.530474426
"22","ACDG_P015",8,25,-33333.0615121923
"23","ACDG_P015",8,50,-64408.2167334368
"24","ACDG_P015",8,100,-114559.259238833
"25","ACDG_P015",9,25,-33482.5704000174
"26","ACDG_P015",9,50,-63415.2659270342
"27","ACDG_P015",9,100,-114143.174556887
"28","ACDG_P015",10,25,-34648.6800828491
"29","ACDG_P015",10,50,-61981.5432059788
"30","ACDG_P015",10,100,-114567.020861292
"31","ACDG_P015",11,25,-34105.2366112135
"32","ACDG_P015",11,50,-64861.127686866
"33","ACDG_P015",11,100,-114093.449269285
"34","ACDG_P015",12,25,-31852.542046952
"35","ACDG_P015",12,50,-63446.9598847227
"36","ACDG_P015",12,100,-115251.880702432
"37","ACDG_P015",13,25,-35639.624671988
"38","ACDG_P015",13,50,-64357.4869023415
"39","ACDG_P015",13,100,-113947.158948816
"40","ACDG_P015",14,25,-34421.3553665691
"41","ACDG_P015",14,50,-62414.7298127566
"42","ACDG_P015",14,100,-113709.889348736
"43","ACDG_P015",15,25,-29516.4934456172
"44","ACDG_P015",15,50,-60854.5362272849
"45","ACDG_P015",15,100,-103457.6259416
"46","ACDG_P015",16,25,-31147.7800014076
"47","ACDG_P015",16,50,-59439.8162970045
"48","ACDG_P015",16,100,-102781.798983031
"49","ACDG_P015",17,25,-32636.6904444186
"50","ACDG_P015",17,50,-63776.5609582677
"51","ACDG_P015",17,100,-114797.302193387
"52","ACDG_P015",18,25,-33966.680341921
"53","ACDG_P015",18,50,-61789.7279652517
"54","ACDG_P015",18,100,-113793.92747262
"55","ACDG_P015",19,25,-32966.9487867618
"56","ACDG_P015",19,50,-65739.8129177768
"57","ACDG_P015",19,100,-113596.607262626
"58","ACDG_P015",20,25,-34379.3557065955
"59","ACDG_P015",20,50,-63988.3542255012
"60","ACDG_P015",20,100,-115047.859169392
"61","ACDG_P015",21,25,-29872.8729424892
"62","ACDG_P015",21,50,-58411.0597469539
"63","ACDG_P015",21,100,-103415.914377477
"64","ACDG_P015",22,25,-33205.5412607935
"65","ACDG_P015",22,50,-62120.7519281853
"66","ACDG_P015",22,100,-114085.456166374
"67","ACDG_P015",23,25,-31413.3483911183
"68","ACDG_P015",23,50,-63221.4387643904
"69","ACDG_P015",23,100,-113672.099625706
"70","ACDG_P015",24,25,-30879.8734486911
"71","ACDG_P015",24,50,-58318.0046986379
"72","ACDG_P015",24,100,-105023.206300441
"73","ACDG_P015",25,25,-29856.3123108799
"74","ACDG_P015",25,50,-58128.1894887991
"75","ACDG_P015",25,100,-104069.154386621
"76","ACDG_P015",26,25,-32095.2071919359
"77","ACDG_P015",26,50,-59674.394117077
"78","ACDG_P015",26,100,-104432.906303509
"79","ACDG_P015",27,25,-31873.831957058
"80","ACDG_P015",27,50,-64226.0261831175
"81","ACDG_P015",27,100,-113707.382370156
"82","ACDG_P015",28,25,-30894.5444342135
"83","ACDG_P015",28,50,-59122.9771815875
"84","ACDG_P015",28,100,-102916.718041012
"85","ACDG_P015",29,25,-31285.7999062001
"86","ACDG_P015",29,50,-60166.8625818561
"87","ACDG_P015",29,100,-113441.855995931
"88","ACDG_P015",30,25,-32613.779808193
"89","ACDG_P015",30,50,-61313.0270920633
"90","ACDG_P015",30,100,-114312.452174313
"91","ACDG_P015",31,25,-34908.9199353639
"92","ACDG_P015",31,50,-64392.903962894
"93","ACDG_P015",31,100,-113776.246113093
"94","ACDG_P015",32,25,-32449.7257406984
"95","ACDG_P015",32,50,-63252.6865387664
"96","ACDG_P015",32,100,-113700.543638166
"97","ACDG_P015",33,25,-34187.0060029176
"98","ACDG_P015",33,50,-61528.9049271552
"99","ACDG_P015",33,100,-114676.398222466
"100","ACDG_P015",34,25,-29113.5685019425
"101","ACDG_P015",34,50,-57088.7875630711
"102","ACDG_P015",34,100,-103815.566271818
"103","ACDG_P015",35,25,-34193.7915576258
"104","ACDG_P015",35,50,-64729.360116172
"105","ACDG_P015",35,100,-113214.740975635
"106","ACDG_P015",36,25,-30949.1491448828
"107","ACDG_P015",36,50,-61794.1153315063
"108","ACDG_P015",36,100,-114256.330256314
"109","ACDG_P015",37,25,-29908.9289471924
"110","ACDG_P015",37,50,-56789.0108926594
"111","ACDG_P015",37,100,-104109.933491395
"112","ACDG_P015",38,25,-33495.5490820997
"113","ACDG_P015",38,50,-64418.5973945872
"114","ACDG_P015",38,100,-114965.523873141
"115","ACDG_P015",39,25,-33403.3787059915
"116","ACDG_P015",39,50,-62506.1717676891
"117","ACDG_P015",39,100,-114490.054176924
"118","ACDG_P015",40,25,-34117.2880534643
"119","ACDG_P015",40,50,-62062.9353336109
"120","ACDG_P015",40,100,-115551.923601888
"121","ACDG_P015",41,25,-33022.6832850404
"122","ACDG_P015",41,50,-63894.4780533903
"123","ACDG_P015",41,100,-114747.050801645
"124","ACDG_P015",42,25,-33184.8383127176
"125","ACDG_P015",42,50,-62076.7907752536
"126","ACDG_P015",42,100,-114959.720406268
"127","ACDG_P015",43,25,-32943.2546377611
"128","ACDG_P015",43,50,-62646.8787061265
"129","ACDG_P015",43,100,-114024.111586483
"130","ACDG_P015",44,25,-33615.5572778294
"131","ACDG_P015",44,50,-63567.3609554781
"132","ACDG_P015",44,100,-113657.01241338
"133","ACDG_P015",45,25,-33683.3759376241
