"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,4.07453626394272e-10
"2","ACDG_P015",1,50,4.07453626394272e-10
"3","ACDG_P015",1,100,4.07453626394272e-10
"4","ACDG_P015",2,25,4.07453626394272e-10
"5","ACDG_P015",2,50,4.07453626394272e-10
"6","ACDG_P015",2,100,4.07453626394272e-10
"7","ACDG_P015",3,25,4.07453626394272e-10
"8","ACDG_P015",3,50,4.07453626394272e-10
"9","ACDG_P015",3,100,4.07453626394272e-10
"10","ACDG_P015",4,25,4.07453626394272e-10
"11","ACDG_P015",4,50,4.07453626394272e-10
"12","ACDG_P015",4,100,4.07453626394272e-10
"13","ACDG_P015",5,25,4.07453626394272e-10
"14","ACDG_P015",5,50,4.07453626394272e-10
"15","ACDG_P015",5,100,4.07453626394272e-10
"16","ACDG_P015",6,25,4.07453626394272e-10
"17","ACDG_P015",6,50,4.07453626394272e-10
"18","ACDG_P015",6,100,4.07453626394272e-10
"19","ACDG_P015",7,25,4.07453626394272e-10
"20","ACDG_P015",7,50,4.07453626394272e-10
"21","ACDG_P015",7,100,-203.525515374187
"22","ACDG_P015",8,25,4.07453626394272e-10
"23","ACDG_P015",8,50,4.07453626394272e-10
"24","ACDG_P015",8,100,4.07453626394272e-10
"25","ACDG_P015",9,25,4.07453626394272e-10
"26","ACDG_P015",9,50,4.07453626394272e-10
"27","ACDG_P015",9,100,4.07453626394272e-10
"28","ACDG_P015",10,25,4.07453626394272e-10
"29","ACDG_P015",10,50,4.07453626394272e-10
"30","ACDG_P015",10,100,465.379615583945
"31","ACDG_P015",11,25,4.07453626394272e-10
"32","ACDG_P015",11,50,4.07453626394272e-10
"33","ACDG_P015",11,100,280.736431015861
"34","ACDG_P015",12,25,4.07453626394272e-10
"35","ACDG_P015",12,50,4.07453626394272e-10
"36","ACDG_P015",12,100,4.07453626394272e-10
"37","ACDG_P015",13,25,4.07453626394272e-10
"38","ACDG_P015",13,50,4.07453626394272e-10
"39","ACDG_P015",13,100,4.07453626394272e-10
"40","ACDG_P015",14,25,4.07453626394272e-10
"41","ACDG_P015",14,50,4.07453626394272e-10
"42","ACDG_P015",14,100,4.07453626394272e-10
"43","ACDG_P015",15,25,4.07453626394272e-10
"44","ACDG_P015",15,50,4.07453626394272e-10
"45","ACDG_P015",15,100,4.07453626394272e-10
"46","ACDG_P015",16,25,4.07453626394272e-10
"47","ACDG_P015",16,50,4.07453626394272e-10
"48","ACDG_P015",16,100,290.14866395917
"49","ACDG_P015",17,25,4.07453626394272e-10
"50","ACDG_P015",17,50,4.07453626394272e-10
"51","ACDG_P015",17,100,4.07453626394272e-10
"52","ACDG_P015",18,25,4.07453626394272e-10
"53","ACDG_P015",18,50,4.07453626394272e-10
"54","ACDG_P015",18,100,-817.582643814155
"55","ACDG_P015",19,25,4.07453626394272e-10
"56","ACDG_P015",19,50,4.07453626394272e-10
"57","ACDG_P015",19,100,4.07453626394272e-10
"58","ACDG_P015",20,25,4.07453626394272e-10
"59","ACDG_P015",20,50,4.07453626394272e-10
"60","ACDG_P015",20,100,4.07453626394272e-10
"61","ACDG_P015",21,25,4.07453626394272e-10
"62","ACDG_P015",21,50,4.07453626394272e-10
"63","ACDG_P015",21,100,4.07453626394272e-10
"64","ACDG_P015",22,25,4.07453626394272e-10
"65","ACDG_P015",22,50,4.07453626394272e-10
"66","ACDG_P015",22,100,4.07453626394272e-10
"67","ACDG_P015",23,25,4.07453626394272e-10
"68","ACDG_P015",23,50,4.07453626394272e-10
"69","ACDG_P015",23,100,446.746648879352
"70","ACDG_P015",24,25,4.07453626394272e-10
"71","ACDG_P015",24,50,4.07453626394272e-10
"72","ACDG_P015",24,100,4.07453626394272e-10
"73","ACDG_P015",25,25,4.07453626394272e-10
"74","ACDG_P015",25,50,4.07453626394272e-10
"75","ACDG_P015",25,100,4.07453626394272e-10
"76","ACDG_P015",26,25,4.07453626394272e-10
"77","ACDG_P015",26,50,4.07453626394272e-10
"78","ACDG_P015",26,100,4.07453626394272e-10
"79","ACDG_P015",27,25,4.07453626394272e-10
"80","ACDG_P015",27,50,4.07453626394272e-10
"81","ACDG_P015",27,100,4.07453626394272e-10
"82","ACDG_P015",28,25,4.07453626394272e-10
"83","ACDG_P015",28,50,4.07453626394272e-10
"84","ACDG_P015",28,100,4.07453626394272e-10
"85","ACDG_P015",29,25,4.07453626394272e-10
"86","ACDG_P015",29,50,4.07453626394272e-10
"87","ACDG_P015",29,100,4.07453626394272e-10
"88","ACDG_P015",30,25,4.07453626394272e-10
"89","ACDG_P015",30,50,4.07453626394272e-10
"90","ACDG_P015",30,100,4.07453626394272e-10
"91","ACDG_P015",31,25,4.07453626394272e-10
"92","ACDG_P015",31,50,4.07453626394272e-10
"93","ACDG_P015",31,100,321.298446646169
"94","ACDG_P015",32,25,4.07453626394272e-10
"95","ACDG_P015",32,50,4.07453626394272e-10
"96","ACDG_P015",32,100,4.07453626394272e-10
"97","ACDG_P015",33,25,4.07453626394272e-10
"98","ACDG_P015",33,50,4.07453626394272e-10
"99","ACDG_P015",33,100,4.07453626394272e-10
"100","ACDG_P015",34,25,4.07453626394272e-10
"101","ACDG_P015",34,50,4.07453626394272e-10
"102","ACDG_P015",34,100,454.206303027004
"103","ACDG_P015",35,25,4.07453626394272e-10
"104","ACDG_P015",35,50,4.07453626394272e-10
"105","ACDG_P015",35,100,4.07453626394272e-10
"106","ACDG_P015",36,25,4.07453626394272e-10
"107","ACDG_P015",36,50,4.07453626394272e-10
"108","ACDG_P015",36,100,4.07453626394272e-10
"109","ACDG_P015",37,25,4.07453626394272e-10
"110","ACDG_P015",37,50,4.07453626394272e-10
"111","ACDG_P015",37,100,4.07453626394272e-10
"112","ACDG_P015",38,25,4.07453626394272e-10
"113","ACDG_P015",38,50,4.07453626394272e-10
"114","ACDG_P015",38,100,4.07453626394272e-10
"115","ACDG_P015",39,25,4.07453626394272e-10
"116","ACDG_P015",39,50,4.07453626394272e-10
"117","ACDG_P015",39,100,4.07453626394272e-10
"118","ACDG_P015",40,25,4.07453626394272e-10
"119","ACDG_P015",40,50,4.07453626394272e-10
"120","ACDG_P015",40,100,453.033670273202
"121","ACDG_P015",41,25,4.07453626394272e-10
"122","ACDG_P015",41,50,4.07453626394272e-10
"123","ACDG_P015",41,100,4.07453626394272e-10
"124","ACDG_P015",42,25,4.07453626394272e-10
"125","ACDG_P015",42,50,4.07453626394272e-10
"126","ACDG_P015",42,100,4.07453626394272e-10
"127","ACDG_P015",43,25,4.07453626394272e-10
"128","ACDG_P015",43,50,4.07453626394272e-10
"129","ACDG_P015",43,100,4.07453626394272e-10
"130","ACDG_P015",44,25,4.07453626394272e-10
"131","ACDG_P015",44,50,4.07453626394272e-10
"132","ACDG_P015",44,100,4.07453626394272e-10
"133","ACDG_P015",45,25,4.07453626394272e-10
"134","ACDG_P015",45,50,4.07453626394272e-10
"135","ACDG_P015",45,100,4.07453626394272e-10
"136","ACDG_P015",46,25,4.07453626394272e-10
"137","ACDG_P015",46,50,4.07453626394272e-10
"138","ACDG_P015",46,100,342.407016628432
"139","ACDG_P015",47,25,4.07453626394272e-10
"140","ACDG_P015",47,50,4.07453626394272e-10
"141","ACDG_P015",47,100,4.07453626394272e-10
"142","ACDG_P015",48,25,4.07453626394272e-10
"143","ACDG_P015",48,50,4.07453626394272e-10
"144","ACDG_P015",48,100,4.07453626394272e-10
"145","ACDG_P015",49,25,4.07453626394272e-10
"146","ACDG_P015",49,50,4.07453626394272e-10
"147","ACDG_P015",49,100,4.07453626394272e-10
"148","ACDG_P015",50,25,4.07453626394272e-10
"149","ACDG_P015",50,50,4.07453626394272e-10
"150","ACDG_P015",50,100,4.07453626394272e-10
"151","ACDG_P015",51,25,4.07453626394272e-10
"152","ACDG_P015",51,50,4.07453626394272e-10
"153","ACDG_P015",51,100,4.07453626394272e-10
"154","ACDG_P015",52,25,4.07453626394272e-10
"155","ACDG_P015",52,50,4.07453626394272e-10
"156","ACDG_P015",52,100,531.312848842982
"157","ACDG_P015",53,25,4.07453626394272e-10
"158","ACDG_P015",53,50,4.07453626394272e-10
"159","ACDG_P015",53,100,4.07453626394272e-10
"160","ACDG_P015",54,25,4.07453626394272e-10
"161","ACDG_P015",54,50,4.07453626394272e-10
"162","ACDG_P015",54,100,4.07453626394272e-10
"163","ACDG_P015",55,25,4.07453626394272e-10
"164","ACDG_P015",55,50,4.07453626394272e-10
"165","ACDG_P015",55,100,4.07453626394272e-10
"166","ACDG_P015",56,25,4.07453626394272e-10
"167","ACDG_P015",56,50,4.07453626394272e-10
"168","ACDG_P015",56,100,331.126502834066
"169","ACDG_P015",57,25,4.07453626394272e-10
"170","ACDG_P015",57,50,4.07453626394272e-10
"171","ACDG_P015",57,100,4.07453626394272e-10
"172","ACDG_P015",58,25,4.07453626394272e-10
"173","ACDG_P015",58,50,4.07453626394272e-10
"174","ACDG_P015",58,100,4.07453626394272e-10
"175","ACDG_P015",59,25,4.07453626394272e-10
"176","ACDG_P015",59,50,4.07453626394272e-10
"177","ACDG_P015",59,100,4.07453626394272e-10
"178","ACDG_P015",60,25,4.07453626394272e-10
"179","ACDG_P015",60,50,4.07453626394272e-10
"180","ACDG_P015",60,100,4.07453626394272e-10
"181","ACDG_P015",61,25,4.07453626394272e-10
"182","ACDG_P015",61,50,4.07453626394272e-10
"183","ACDG_P015",61,100,4.07453626394272e-10
"184","ACDG_P015",62,25,4.07453626394272e-10
"185","ACDG_P015",62,50,4.07453626394272e-10
"186","ACDG_P015",62,100,4.07453626394272e-10
"187","ACDG_P015",63,25,4.07453626394272e-10
"188","ACDG_P015",63,50,4.07453626394272e-10
"189","ACDG_P015",63,100,4.07453626394272e-10
"190","ACDG_P015",64,25,4.07453626394272e-10
"191","ACDG_P015",64,50,4.07453626394272e-10
"192","ACDG_P015",64,100,4.07453626394272e-10
"193","ACDG_P015",65,25,4.07453626394272e-10
"194","ACDG_P015",65,50,4.07453626394272e-10
"195","ACDG_P015",65,100,4.07453626394272e-10
"196","ACDG_P015",66,25,4.07453626394272e-10
"197","ACDG_P015",66,50,4.07453626394272e-10
"198","ACDG_P015",66,100,4.07453626394272e-10
"199","ACDG_P015",67,25,4.07453626394272e-10
"200","ACDG_P015",67,50,4.07453626394272e-10
"201","ACDG_P015",67,100,829.323487725126
"202","ACDG_P015",68,25,4.07453626394272e-10
"203","ACDG_P015",68,50,4.07453626394272e-10
"204","ACDG_P015",68,100,4.07453626394272e-10
"205","ACDG_P015",69,25,4.07453626394272e-10
